event_id,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,Duration in weeks,Revenue
POP102033,Tom Ford Beauty,Europe,London,High-Street,Shop-in-Shop,2024-12-06,2024-12-25,19,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,56.15,1012,1292,80.1,3,72545.8
POP101727,Armani Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-10-11,2025-01-08,89,LE-4U7A4IY2,Armani Beauty Glow Fragrance,118.17,2097,3307,83.89,13,390788.2
POP100196,Sisley-Paris,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-02-10,2025-02-18,8,LE-386SS2FI,Sisley-Paris Glow Primer,48.69,2199,389,80.54,1,18940.4
POP101833,Huda Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-04-06,2025-04-23,17,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,83.66,1456,885,75.19,2,74039.1
POP101338,Hermès Beauty,Europe,London,High-Street,Shop-in-Shop,2024-03-11,2024-05-31,81,LE-DQ9T86F0,Hermès Beauty Éclat Blush,42.73,2521,1895,49.26,12,80973.4
POP101838,Hourglass,Europe,London,High-Street,Shop-in-Shop,2024-03-10,2024-05-05,56,LE-FAV2HAAB,Hourglass Éclat Mascara,45.29,3069,2401,86.21,8,108741.3
POP100764,Tom Ford Beauty,Europe,Milan,High-Street,Shop-in-Shop,2025-05-21,2025-06-10,20,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,36.44,2190,2767,92.23,3,100829.5
POP100817,Dior,Middle East,Dubai,High-Street,Shop-in-Shop,2024-10-20,2025-01-15,87,LE-PA3G9DQA,Dior Satin Fragrance,110.19,2362,2268,87.64,12,249910.9
POP100564,Huda Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-07-10,2024-09-28,80,LE-MKKONVP8,Huda Beauty Pearl Eyeshadow Palette,60.88,1464,235,53.29,11,14306.8
POP102102,Sisley-Paris,Europe,Paris,High-Street,Shop-in-Shop,2024-06-01,2024-07-18,47,LE-5B8I3KVE,Sisley-Paris Velvet Fragrance,263.91,1256,2497,85.93,7,658983.3
POP101623,Guerlain,Middle East,Doha,High-Street,Shop-in-Shop,2024-09-26,2024-11-18,53,LE-8SJKABW8,Guerlain Glow Fragrance,207.33,2365,463,58.02,8,95993.8
POP100495,MAC Cosmetics,Middle East,Jeddah,High-Street,Shop-in-Shop,2024-06-28,2024-09-04,68,LE-8U41MRNP,MAC Cosmetics Éclat Eyeshadow Palette,126.68,1159,1972,86.64,10,249813.0
POP101018,Fenty Beauty,Asia-Pacific,Tokyo,High-Street,Shop-in-Shop,2024-03-05,2024-05-27,83,LE-K1K7THD4,Fenty Beauty Glow Blush,53.21,2323,1149,42.4,12,61138.3
POP100289,La Prairie,Middle East,Dubai,High-Street,Shop-in-Shop,2024-03-05,2024-03-18,13,LE-KB3P44K7,La Prairie Opulence Primer,45.86,1357,1614,93.73,2,74018.0
POP100121,Rare Beauty,Asia-Pacific,Singapore,High-Street,Shop-in-Shop,2025-02-22,2025-05-02,69,LE-8446UY6Z,Rare Beauty Rouge Primer,43.93,1874,1725,58.91,10,75779.3
POP100948,Estée Lauder,Latin America,Lima,High-Street,Shop-in-Shop,2024-08-30,2024-11-22,84,LE-FSZ8ZDSC,Estée Lauder Glow Foundation,100.11,2282,1681,70.31,12,168284.9
POP101044,Hourglass,North America,Miami,High-Street,Shop-in-Shop,2024-04-27,2024-05-01,4,LE-Y5MKZ45I,Hourglass Lumière Blush,64.95,1986,2394,80.04,1,155490.3
POP101231,Chanel,Middle East,Riyadh,High-Street,Shop-in-Shop,2024-07-10,2024-08-20,41,LE-0YVVWG55,Chanel Satin Highlighter,35.21,1917,983,85.55,6,34611.4
POP100270,Charlotte Tilbury,Latin America,Mexico City,High-Street,Shop-in-Shop,2025-06-03,2025-06-08,5,LE-VY4YU47L,Charlotte Tilbury Velvet Highlighter,62.19,2613,1189,80.88,1,73943.9
POP100414,Hourglass,Asia-Pacific,Singapore,High-Street,Shop-in-Shop,2025-06-25,2025-08-07,43,LE-307PZD1D,Hourglass Pearl Primer,44.65,998,3305,81.14,6,147568.3
